id	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YAL068C	9.43934939870377	8.57615452804024	6.35726477893449	5.14117293825392
gene-YAL067W-A	0	0	0	0
gene-YAL067C	78.2117521606883	36.9846664021735	15.8931619473362	9.42548372013218
gene-YAL065C	7.4166316704101	1.60802897400754	6.35726477893449	2.57058646912696
gene-YAL064W-B	0.674239242764555	1.60802897400754	0	0
gene-YAL064C-A	0	0.536009658002515	3.17863238946725	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	18.8786987974075	10.7201931600503	6.35726477893449	2.57058646912696
gene-YAL062W	5121.52128803956	586.930575512754	416.400843020209	137.95480717648
gene-YAL061W	1285.77423595201	1040.39474618288	101.716236462952	70.2626968228035
gene-YAL060W	2748.19915350833	2586.78260952014	267.005120715249	284.478235916717
gene-YAL059W	91.0222977732149	136.146453132639	1678.31790163871	1432.67352546009
gene-YAL058W	57.3103356349872	73.4333231463445	174.824781420699	167.088120493252
gene-YAL056W	944.609179113141	627.667309520945	82.6444421261484	67.6921103536766
gene-YAL055W	151.703829622025	113.634047496533	38.143588673607	31.7038997858992
gene-YAL054C	15689.5471791312	3414.91753113402	502.223917535825	107.107769546957
gene-YAL053W	1299.2590208073	413.799455977941	1230.13073472382	790.026908178352
gene-YAL051W	351.952884723098	252.996558577187	200.253840536437	168.801844806004
gene-YAL049C	1796.17334272477	1289.63923715405	212.968370094306	252.774336130818
gene-YAL048C	171.256767662197	120.602173050566	89.0017069050829	71.9764211355548
gene-YAL047C	68.09816351922	65.3931782763068	76.2871773472139	73.6901454483061
gene-YAL046C	25.6210912250531	103.449863994485	85.8230745156157	130.243047769099
gene-YAL044W-A	349.930166994804	247.636461997162	79.4658097366812	106.250907390581
gene-YAL044C	542.762590425467	816.878718795833	448.187166914882	373.591900179785
gene-YAL043C	428.141919155492	366.63060607372	397.329048683406	465.276150911979
gene-YAL042W	284.528960446642	457.216238276145	445.008534525415	508.976120887138
gene-YAL041W	111.923714298916	195.107515512915	394.150416293939	341.03113823751
gene-YAL040C	577.148791806459	326.429881723532	877.30253949296	632.364271405232
gene-YAL039C	505.005192830651	554.2339863746	441.829902135947	303.329203356981
gene-YAL038W	25414.7740167671	9682.47846215743	12647.7782776902	9441.76410110332
gene-YAL037C-A	14.1590240980556	8.57615452804024	19.0717943368035	9.42548372013218
gene-YAL037W	28.3180481961113	27.3364925581283	57.2153830104104	46.2705564442852
gene-YAL036C	123.385781425914	132.930395184624	1436.7418400392	1371.83631235742
gene-YAL035W	981.692337465192	1141.70057154536	2968.84265176241	2513.17670464979
gene-YAL034W-A	47.8709862362834	72.897313488342	44.5008534525415	40.2725213496557
gene-YAL034C	2731.34317243921	1122.94023351527	301.970076999388	282.764511603965
gene-YAL033W	43.1513115369315	62.7131299862942	104.894868852419	173.943017744258
gene-YAL032C	57.9845748777517	96.4817384404527	247.933326378445	212.501814781162
gene-YAL031C	327.006032740809	246.564442681157	155.752987083895	138.811669332856
gene-YAL030W	509.050628287239	423.983639479989	123.966663189223	149.094015209364
gene-YAL029C	188.786987974075	281.40507045132	549.903403377834	466.989875224731
gene-YAL028W	144.287197951615	86.2975549384049	19.0717943368035	30.8470376295235
gene-YAL027W	229.241342539949	244.956413707149	63.5726477893449	59.9803509462957
gene-YAL026C	149.681111893731	174.73914850882	187.539310978568	202.219468904654
gene-YNCA0001W	3.37119621382277	3.21605794801509	0	1.71372431275131
gene-YAL025C	91.0222977732149	137.754482106646	2701.83753104716	2484.04339133302
gene-YAL024C	28.3180481961113	50.9209175102389	101.716236462952	87.3999399503166
gene-YAL023C	320.937879555928	752.021550177528	1042.59142374526	993.960101395757
gene-YAL022C	22.2498950112303	30.0165408481408	114.430766020821	92.5411128885705
gene-YAL021C	538.042915726115	444.888016142087	349.649562841397	301.61547904423
gene-YAL020C	170.582528419432	165.090974664775	47.6794858420087	93.3979750449462
gene-YAL019W	138.893284009498	154.906791162727	467.258961251685	394.1565919328
gene-YAL018C	0	0	0	0.856862156375653
gene-YAL017W	1589.85613443882	921.936611764326	82.6444421261484	77.9744562301844
gene-YAL016W	2632.90424299559	2148.86271893208	451.365799304349	526.113364014651
gene-YAL015C	156.423504321377	246.564442681157	108.073501241886	181.654777151638
gene-YAL014C	184.741552517488	248.708481313167	136.681192747092	171.372431275131
gene-YAL013W	306.778855457872	374.134741285755	499.045285146358	458.421253660974
gene-YAL012W	71.4693597330428	125.426259972588	2717.7306929945	2578.29822853434
gene-YAL011W	100.461647171919	108.273950916508	247.933326378445	218.499849875791
gene-YAL010C	124.060020668678	127.570298604599	60.3940153998777	88.2568021066922
gene-YAL009W	75.5147951896301	48.7768788782289	101.716236462952	120.817564048967
gene-YAL008W	950.677332298022	525.289464842465	127.14529557869	89.1136642630679
gene-YAL007C	79.5602306462175	272.82891592328	184.3606785891	228.782195752299
gene-YNCA0002W	0	0	0	0
gene-YAL005C	10153.3687567914	22457.1966413314	934.517922503371	1358.12651785541
gene-YAL003W	3127.79584718477	6383.87502680995	8617.27240784571	8444.37655108206
gene-YNCA0003W	12.136306369762	48.7768788782289	73.1085449577467	44.5568321315339
gene-YAL002W	277.786568018997	166.699003638782	340.113665672995	327.321343735499
gene-YAL001C	461.179642050955	372.526712311748	85.8230745156157	96.8254236704488
gene-YAR002W	191.483944945134	231.556172257086	886.838436661362	885.138607536049
gene-YAR002C-A	457.808445837133	861.367520410041	327.399136115126	357.311519208647
gene-YAR003W	59.3330533632808	88.441593570415	130.323927968157	150.807739522115
gene-YAR007C	162.491657506258	456.14421896014	22.2504267262707	43.6999699751583
gene-YAR008W	41.8028330514024	83.6175066483923	44.5008534525415	35.1313484114018
gene-YAR009C	0	0	0	0
gene-YAR010C	0	0	0	0
gene-YNCA0004W	0	1.07201931600503	0	0.856862156375653
gene-YAR014C	319.589401070399	250.852519945177	886.838436661362	628.936822779729
gene-YAR015W	596.027490603866	884.41593570415	2110.61190660625	1027.37772549441
gene-YAR018C	132.150891581853	169.915061586797	60.3940153998777	87.3999399503166
gene-YAR019C	213.733839956364	236.916268837112	136.681192747092	91.6842507321948
